species,species_id,path
S(812),O[CH]CO_m2,geoms/O_b_CH_d_CO_m2.xyz
S(1038),C=CCO_m1,geoms/C=CCO_m1.xyz
C4H6O(660),C=C1OC1C_m1,geoms/C=C1OC1C_m1.xyz
C2H2O(484),[CH]=C[O]_m3,geoms/_b_CH_d_=C_b_O_d__m3.xyz
S(1191),C1=CO1_m1,geoms/C1=CO1_m1.xyz
S(362),O=CCO_m1,geoms/O=CCO_m1.xyz
CH2O3(164),[O]CO[O]_m3,geoms/_b_O_d_CO_b_O_d__m3.xyz
C4H6O(661),CC1CC1=O_m1,geoms/CC1CC1=O_m1.xyz
C2H2(26),C#C_m1,geoms/C_t_C_m1.xyz
S(1224),[O]C(CO)CC=O_m2,geoms/_b_O_d_C_p_CO_q_CC=O_m2.xyz
S(1223),O=CCO[CH]CO_m2,geoms/O=CCO_b_CH_d_CO_m2.xyz
CH2O3(249),O=COO_m1,geoms/O=COO_m1.xyz
C4H6(1279),CC1C=C1_m1,geoms/CC1C=C1_m1.xyz
HCCO(24),C#C[O]_m2,geoms/C_t_C_b_O_d__m2.xyz
S(1123),[CH2]C=CO_m2,geoms/_b_CH2_d_C=CO_m2.xyz
S(1421),C=CC(O)O[O]_m2,geoms/C=CC_p_O_q_O_b_O_d__m2.xyz
S(1453),C=CC(O)C[O]_m2,geoms/C=CC_p_O_q_C_b_O_d__m2.xyz
S(1451),[O]CCC=CO_m2,geoms/_b_O_d_CCC=CO_m2.xyz
C3H4O(392),C=CC=O_m1,geoms/C=CC=O_m1.xyz
S(1566),[CH2]C[C]=O_m3,geoms/_b_CH2_d_C_b_C_d_=O_m3.xyz
S(1420),[O]OCC=CO_m2,geoms/_b_O_d_OCC=CO_m2.xyz
C3H3O(467),C=C[C]=O_m2,geoms/C=C_b_C_d_=O_m2.xyz
C4H8O(810),CC1CC1O_m1,geoms/CC1CC1O_m1.xyz
S(1303),O=C1CC1_m1,geoms/O=C1CC1_m1.xyz
S(1688),[O]CCC=C=O_m2,geoms/_b_O_d_CCC=C=O_m2.xyz
C3H6O(118),C[CH]C[O]_m3,geoms/C_b_CH_d_C_b_O_d__m3.xyz
S(1037),CC=CO_m1,geoms/CC=CO_m1.xyz
C3H6O(331),CCC=O_m1,geoms/CCC=O_m1.xyz
S(1793),CC[CH]OC_m2,geoms/CC_b_CH_d_OC_m2.xyz
C3H5O(382),CC[C]=O_m2,geoms/CC_b_C_d_=O_m2.xyz
S(517),O=[C]CC=O_m2,geoms/O=_b_C_d_CC=O_m2.xyz
S(1678),[O]OCC=C=O_m2,geoms/_b_O_d_OCC=C=O_m2.xyz
CHO4(283),[O]C(=O)OO_m2,geoms/_b_O_d_C_p_=O_q_OO_m2.xyz
tSPC(1286),C=CC(=O)O[O]_m2,geoms/C=CC_p_=O_q_O_b_O_d__m2.xyz
