species_id,path
[O]CCCO[O]_m3,geoms/_b_O_d_CCCO_b_O_d__m3.xyz
[O]OCC=C=O_m2,geoms/_b_O_d_OCC=C=O_m2.xyz
C=CC(O)C[O]_m2,geoms/C=CC_p_O_q_C_b_O_d__m2.xyz
C=CC(O)O[O]_m2,geoms/C=CC_p_O_q_O_b_O_d__m2.xyz
C=CC([O])=O_m2,geoms/C=CC_p__b_O_d__q_=O_m2.xyz
CC([O])CC=O_m2,geoms/CC_p__b_O_d__q_CC=O_m2.xyz
O=CCO[CH]CO_m2,geoms/O=CCO_b_CH_d_CO_m2.xyz
[CH2]C[CH2]_m3,geoms/_b_CH2_d_C_b_CH2_d__m3.xyz
[CH2]C[C]=O_m3,geoms/_b_CH2_d_C_b_C_d_=O_m3.xyz
[O]C([O])=O_m3,geoms/_b_O_d_C_p__b_O_d__q_=O_m3.xyz
[O]CC(O)C=O_m2,geoms/_b_O_d_CC_p_O_q_C=O_m2.xyz
[O]OC(O)C=O_m2,geoms/_b_O_d_OC_p_O_q_C=O_m2.xyz
C=CC(=O)O[O]_m2,geoms/C=CC_p_=O_q_O_b_O_d__m2.xyz
O=C[CH]OCC=O_m2,geoms/O=C_b_CH_d_OCC=O_m2.xyz
[O]C(=O)CC=O_m2,geoms/_b_O_d_C_p_=O_q_CC=O_m2.xyz
[O]C(CO)CC=O_m2,geoms/_b_O_d_C_p_CO_q_CC=O_m2.xyz
[O]CC([O])=O_m3,geoms/_b_O_d_CC_p__b_O_d__q_=O_m3.xyz
[O][CH]CCC=O_m3,geoms/_b_O_d__b_CH_d_CCC=O_m3.xyz
[O]C(C=O)CC=O_m2,geoms/_b_O_d_C_p_C=O_q_CC=O_m2.xyz
CC([O])C(O)C=O_m2,geoms/CC_p__b_O_d__q_C_p_O_q_C=O_m2.xyz
[CH2]C(=O)CC=O_m2,geoms/_b_CH2_d_C_p_=O_q_CC=O_m2.xyz
[CH2]C(=O)O[O]_m3,geoms/_b_CH2_d_C_p_=O_q_O_b_O_d__m3.xyz
[CH2][CH]OCC=O_m3,geoms/_b_CH2_d__b_CH_d_OCC=O_m3.xyz
[CH2]C([O])CC=O_m3,geoms/_b_CH2_d_C_p__b_O_d__q_CC=O_m3.xyz
[O]C(CO)C(O)C=O_m2,geoms/_b_O_d_C_p_CO_q_C_p_O_q_C=O_m2.xyz
[O]C(C=O)C(O)C=O_m2,geoms/_b_O_d_C_p_C=O_q_C_p_O_q_C=O_m2.xyz
[CH2]C(O[O])C(=O)OO_m3,geoms/_b_CH2_d_C_p_O_b_O_d__q_C_p_=O_q_OO_m3.xyz
