reaction_id,rmg_value,sensitivity,uncertainty,class
[O]C=O_m2.[O]_m3>>[O]OC=O_m2,1.4345884590152669,0.11161197132098802,2.5536049848239344,
[CH]=O_m2>>[H]_m2.[C-]#[O+]_m1,1.364422305377652,0.8275639610073395,0.5,
[H][H]_m1.[CH2]_m1>>C_m1,1.3141121911727518,0.015227049775641224,4.457843140049898,
C=C[O]_m2.[O]O_m2>>C=C=O_m1.OO_m1,1.291807998874042,0.0249632077393116,3.946395015176066,abstraction
C=O_m1.[OH]_m2>>[CH]=O_m2.O_m1,1.2406288796288532,0.7524794528198335,0.5,abstraction
C=C_m1.[OH]_m2>>[CH]=C_m2.O_m1,1.2193526826230698,0.7395747870137399,0.5,abstraction
[O]O_m2.[C-]#[O+]_m1>>[OH]_m2.O=C=O_m1,1.1751218595599289,0.7127474367216203,0.5,
[O]_m3.[CH3]_m2>>C[O]_m2,1.174171199041221,0.09135132892625912,2.5536049848239344,
[O]_m3.[C-]#[O+]_m1>>O=C=O_m1,1.1576030611445092,0.7021217483613431,0.5,
[CH]=C_m2.[O][O]_m3>>[CH]=O_m2.C=O_m1,1.1573805385935596,0.7019867816117147,0.5,
C=O_m1.[O]O_m2>>[CH]=O_m2.OO_m1,1.1483533999282762,0.6965115452417429,0.5,abstraction
[O]_m3.C[O]_m2>>CO[O]_m2,1.134511159495118,0.2531436567083265,1.5,
COO_m1.[CH2]CC_m2>>CO[O]_m2.CCC_m1,1.017369694349695,0.008045613704957794,4.839848783037636,abstraction
C=CC=O_m1.[OH]_m2>>C=C[C]=O_m2.O_m1,0.9916715763118322,0.07715273243668086,2.5536049848239344,abstraction
[CH2]CO_m2.[O]O_m2>>OCCOO_m1,0.9530762286149668,0.01841747373220506,3.946395015176066,
C[CH]C_m2>>[CH2]CC_m2,0.9477470082692172,0.5748376181662029,0.5,migration
O=COO_m1.C[CH]C_m2>>[O]OC=O_m2.CCC_m1,0.9164038849967252,0.024859680159548547,3.607209969647868,abstraction
[CH2]C(=O)O[O]_m3>>O=C1COO1_m1,0.9145948530624248,0.07115611022020656,2.5536049848239344,
[H]_m2.[CH2]O_m2>>[OH]_m2.[CH3]_m2,0.8951846204375601,0.5429569183985966,0.5,
CC=CO_m1>>CCC=O_m1,0.8916297675385519,0.03745449000448038,3.169924391518818,migration
CCC_m1.[H]_m2>>[CH2]CC_m2.[H][H]_m1,0.8670653345217597,0.012699783608286368,4.2235293763427535,abstraction
O_m1>>[H]_m2.[OH]_m2,0.8552135945909409,0.518713265722456,0.5,
[OH]_m2.C=C[O]_m2>>O=CCO_m1,0.7924176180006545,0.06165063708601427,2.5536049848239344,
[H]_m2.C=C_m1>>C[CH2]_m2,0.7738540101436876,0.4693661832937178,0.5,addition
[O]O_m2.[O]_m3>>[O][O]_m3.[OH]_m2,0.7563959932916214,0.4587773608151598,0.5,abstraction
[CH3]_m2.[CH3]_m2>>CC_m1,0.7387696809538901,0.44808646196465457,0.5,
[O]_m3.C=C[O]_m2>>C=CO[O]_m2,0.7340363085727654,0.05710853095613501,2.5536049848239344,
O=CCO_m1.[OH]_m2>>[O]C=CO_m2.O_m1,0.7313720671015089,0.030722581024220017,3.169924391518818,abstraction
C=CCO_m1.[O]O_m2>>C=C[CH]O_m2.OO_m1,0.7289765483988291,0.01977525863181092,3.607209969647868,abstraction
[OH]_m2.C=CO_m1>>O[CH]CO_m2,0.7084265402000457,0.029758713464761007,3.169924391518818,addition
[OH]_m2.[CH3]_m2>>CO_m1,0.7001122979393748,0.4246395739420967,0.5,
[CH2]CC_m2.[O]O_m2>>C=CC_m1.OO_m1,0.6919417175083928,0.05383354274532057,2.5536049848239344,abstraction
C=C_m1.[C-]#[O+]_m1>>C=CC=O_m1,0.6917925723963316,0.008016027859004196,4.457843140049898,
[CH3]_m2.C=C_m1>>[CH2]CC_m2,0.6911630318691135,0.4192115696885573,0.5,addition
O_m1.[H]_m2>>[OH]_m2.[H][H]_m1,0.6551139871655761,0.39734671882251055,0.5,abstraction
[CH3]_m2.[OH]_m2>>[CH2]_m1.O_m1,0.5778390288354339,0.3504770873672632,0.5,abstraction
[CH]=C_m2.[O][O]_m3>>[O]_m3.C=C[O]_m2,0.560551373743048,0.3399915945191938,0.5,
[H]_m2.C#C[O]_m2>>C=C=O_m1,0.5603643212724811,0.1250341807469949,1.5,
O=CCO_m1.[O]O_m2>>[O]C=CO_m2.OO_m1,0.5482544297458817,0.014872732419272757,3.607209969647868,abstraction
[H]_m2.C=O_m1>>C[O]_m2,0.5456642718404433,0.3309621107809978,0.5,addition
