reaction_id,press_dependence,class,rmg_value,Unnamed: 0
[CH2]C=C_m2.C=C[O]_m2>>C=C=C_m1.C=CO_m1,,abstraction,2.3889110744748347e-06,1958.0
[O][O]_m3.C=C=C=C_m1>>C=C=[C]CO[O]_m3,,,2.3792207228115834e-11,3788.0
CCCCC_m1.CC(O[O])CCC_m2>>C[CH]CCC_m2.CC(OO)CCC_m1,,abstraction,,
C[C]=C_m2.[OH]_m2>>CC(=C)O_m1,,,,
[CH2]C#C_m2.[H]_m2>>C1=C[C]1_m3.[H][H]_m1,,,,
CC=CC_m1.[H]_m2>>C[CH]C=C_m2.[H][H]_m1,,abstraction,,
[O]C[O]_m3.[O]O_m2>>[O]C=O_m2.OO_m1,,abstraction,5.38411952516133e-05,
[CH2]C(=O)COO_m2>>C=C(O)CO[O]_m2,,migration,27.30093641075652,10.0
CC(OO)CCC[CH2]_m2.[O][O]_m3>>[O]OCCCCC(OO)C_m2,,addition,,
[CH2]CO_m2.C=C[O]_m2>>C=CO_m1.C=CO_m1,,abstraction,6.668807230810143e-06,1744.0
[C]_m3.[CH2]_m3>>[H]_m2.[C]#C_m2,,,0.05518729338635917,306.0
OOCC1CO1_m1>>[CH2]C=O_m2.C=O_m1.[OH]_m2,,,,
O=CO_m1.[CH3]_m2>>O=[C]O_m2.C_m1,,abstraction,4.1656788612351774e-05,1398.0
CCC1CCCO1_m1.O[O]_m2>>C=C_m1.CCC(=O)[CH2]_m2.OO_m1,,,,
CC(CC(=O)C)[O]_m2>>CC=O_m1.CC(=O)[CH2]_m2,,,,
CCCC[CH2]_m2.[O][O]_m3>>CCCCCO[O]_m2,,addition,,
[CH2]C=C_m2.C[O]_m2>>C=C=C_m1.CO_m1,,abstraction,0.00032413367026161416,1023.0
C=C[CH]O_m2.[CH2]CC_m2>>C=CC=O_m1.CCC_m1,,abstraction,4.241021722781653e-07,
[CH2]C=CC_m2.[O][O]_m3>>C=CC(C)O[O]_m2,,addition,0.0006468666306121761,898.0
CCCCCC(CO[O])OO_m2.C[CH2]_m2>>CC[O]_m2.CCCCCC(OO)C[O]_m2,,,,
[O]_m3.C=C=C=O_m1>>[CH2]C([O])=C=O_m3,,addition,8.94569129428706e-08,2505.0
C=CC[C]=O_m2.O=[C]C=CC=O_m2>>C=CC=C=O_m1.O=CC=CC=O_m1,,abstraction,0.3323724870847311,145.0
C=C1OOC([O])C1=O_m2.[O]C1C(=O)OOC=1O_m2>>C=C1OOC(=O)C1=O_m1.O=C1OOC(O)C1=O_m1,,abstraction,0.00037919678338461585,991.0
[CH]C=C=O_m3>>C=C=C=O_m1,,migration,1.4448268399053076e-16,4640.0
C[CH2]_m2.[O][C](C=O)C=C=O_m3>>C=C_m1.O=C=CC(=O)[CH]O_m2,,abstraction,1.3606972668274694e-14,4463.0
[CH2]OCC=C_m2>>[CH2]CC(=O)C_m2,,,,
CC=CC_m1.[H]_m2>>[CH2]C=CC_m2.[H][H]_m1,,abstraction,0.006134916176416688,563.0
