,reaction_id,rmg_value,class
62,[CH]C=C_m3.[CH]=C=C=C_m2>>C#C[CH2]_m2.C=C=C=C_m1,1.6041911350674074,abstraction
63,[H]_m2.[CH]=O_m2>>C=O_m1,1.579146832225728,
64,C=C_m1>>[H][H]_m1.[C]=C_m1,1.5166802670338255,
65,[H]_m2.[O][O]_m3>>[O]O_m2,1.4995469733417877,addition
66,CC_m1.[O]O_m2>>C[CH2]_m2.OO_m1,1.483594462193672,abstraction
67,[O][O]_m3.[H]_m2>>[O]_m3.[OH]_m2,1.3562956428053528,
68,O=C=O_m1.[CH2]_m1>>O=C=O_m1.[CH2]_m3,1.3209013020722642,
69,[CH2]C=C_m2.[C-]#[O+]_m1>>[CH2]C=CC=O_m2,1.3103619253328638,
70,C=C=C_m1.[O]_m3>>C#C[CH2]_m2.[OH]_m2,1.228767236559671,abstraction
71,C=O_m1.C[CH]CC_m2>>[CH]=O_m2.CCCC_m1,1.14578220195368,abstraction
72,CCCC_m1.[OH]_m2>>C[CH]CC_m2.O_m1,1.133585524812453,abstraction
73,[O]C(C=O)=CO_m2>>O=C=C(O)[CH]O_m2,1.0697898991625605,migration
74,[O]_m3.[CH3]_m2>>[H]_m2.C=O_m1,1.0647010314887615,
75,[CH2]CCOO_m2.[CH2]_m1>>[CH2]CC(C)OO_m2,1.0579108424575538,
76,C=CO_m1.[CH2]O_m2>>C=C[O]_m2.CO_m1,1.01866998394063,abstraction
77,[CH]=C_m2.[H]_m2>>C#C_m1.[H][H]_m1,0.9974132094363648,abstraction
78,C=[C]C_m2.[CH]=C=C=C_m2>>C#CC_m1.C=C=C=C_m1,0.9697031676912478,abstraction
79,[O]C=O_m2.C=[C]C_m2>>O=C=O_m1.C=CC_m1,0.9134237223102912,abstraction
80,[O]CC=CC[O]_m3>>C1=CCOOC1_m1,0.9053191658845052,
81,[CH]=O_m2.C=C=O_m1>>O=[C]CC=O_m2,0.8866620516817296,addition
82,[CH]=O_m2.[O]O_m2>>[C-]#[O+]_m1.OO_m1,0.881631836938688,abstraction
83,CCCCOO_m1.[CH2]CC=C_m2>>C[CH]CCOO_m2.C=CCC_m1,0.8585434203940381,abstraction
84,C[CH]C_m2.O=[C]CC=O_m2>>C=CC_m1.O=CCC=O_m1,0.854909758504788,abstraction
85,C[CH]CC_m2.[CH]1C=CCO1_m2>>CC=CC_m1.C1=COCC1_m1,0.8437438251933591,abstraction
86,C=C=C_m1.[CH2]CCCOO_m2>>C#C[CH2]_m2.CCCCOO_m1,0.8032682797061973,abstraction
87,C=C=CC_m1.C=C[O]_m2>>[CH2]C#CC_m2.CC=O_m1,0.7955069459661624,abstraction
88,[C-]#[O+]_m1.[CH]=C_m2>>[CH]=CC=O_m2,0.7557636867942198,
89,[CH2]CCC_m2>>C[CH]CC_m2,0.7235641398900375,migration
90,[CH2]CC_m2.O=[C]CC=O_m2>>C=CC_m1.O=CCC=O_m1,0.7201896707267322,abstraction
91,[CH2]C(=C)O_m2.[O][O]_m3>>C=C(O)CO[O]_m2,0.7199375121805349,addition
92,COO_m1.[CH2]CCC_m2>>CO[O]_m2.CCCC_m1,0.7175396090996143,abstraction
93,CC=CC_m1.[CH2]CC=C_m2>>[CH2]C=CC_m2.C=CCC_m1,0.6962438491940993,abstraction
94,[O]_m3.[CH3]_m2>>[H]_m2.[H][H]_m1.[C-]#[O+]_m1,0.6898071119222979,
95,CC=O_m1.[CH2]O_m2>>C=C[O]_m2.CO_m1,0.6875352238234076,abstraction
96,[O]_m3.OO_m1>>[O][O]_m3.O_m1,0.6828532553289333,
97,[CH2]CCC_m2.[O][O]_m3>>C=CCC_m1.[O]O_m2,0.6640123748810396,abstraction
98,C#C[CH2]_m2.C=C(O)C=O_m1>>C#CCC([O])C(=C)O_m2,0.6632812072508913,addition
99,CC=O_m1.C=C[O]_m2>>C[C]=O_m2.CC=O_m1,0.6567403680406617,abstraction
100,[CH]=O_m2.[CH2]CCC_m2>>[C-]#[O+]_m1.CCCC_m1,0.6290334121339041,abstraction
101,[O]C=O_m2.C[C]=O_m2>>O=C=O_m1.CC=O_m1,0.6262104530394529,abstraction
102,CC=O_m1.[CH2]CCC_m2>>C=C[O]_m2.CCCC_m1,0.6226948459736775,abstraction
103,[CH2]C=CC_m2.[C]#C_m2>>C=CC=C_m1.C#C_m1,0.6127813693344328,abstraction
104,[O]_m3.[C-]#[O+]_m1>>O=C=O_m1,0.6096023672533225,
105,[CH2]C=CC_m2.[CH2]CCC_m2>>C=CC=C_m1.CCCC_m1,0.6013736876409668,abstraction
106,[O]CC(=O)C=O_m2>>[O]C1=COOC1_m2,0.5892673853900963,
107,C[CH]CC_m2.[O][O]_m3>>CC=CC_m1.[O]O_m2,0.5852318657367608,abstraction
108,CO_m1.C[CH]CCOO_m2>>[CH2]O_m2.CCCCOO_m1,0.5802736706711277,abstraction
109,[CH2]C=CO[CH2]_m3>>C=CC1CO1_m1,0.5800869229014567,
110,[CH2]CCC_m2.C[CH]CC_m2>>CCCC_m1.CC=CC_m1,0.5717882314800733,
111,O=C[CH]C=CO_m2>>OC1C=C[CH]O1_m2,0.5701794586494143,
112,[H][H]_m1.[CH2]_m1>>C_m1,0.5630139364689831,
113,[O]O_m2.C#C[O]_m2>>[O][O]_m3.C=C=O_m1,0.5618917965321253,abstraction
114,C=CCC_m1.[CH]=O_m2>>[CH2]C=CC_m2.C=O_m1,0.5613193497561751,abstraction
115,[CH3]_m2.O=CC=CC=O_m1>>COC=CC=C[O]_m2,0.5574273633389093,addition
116,[O]O_m2.[CH2]C=CC_m2>>[O][O]_m3.C=CCC_m1,0.5486487026607523,abstraction
117,[CH2]C=CC=O_m2.C=O_m1>>[O]CCC=CC=O_m2,0.5445416089003169,addition
118,CC(O)=CCOO_m1>>CC(=O)CCOO_m1,0.5244659752092763,migration
119,CC=O_m1.C[O]_m2>>C=C[O]_m2.CO_m1,0.5233296912431444,abstraction
120,[CH2]C=CC=O_m2.C#C[CH2]_m2>>C=CC=C=O_m1.C=C=C_m1,0.5134506375824578,abstraction
121,[CH2]C(=O)C(O)=CO_m2.[CH2][C]=O_m3>>[CH2]C(=O)CC(=O)C(O)=CO_m2,0.5047201702554835,addition
122,C=C[O]_m2.O=CO_m1>>[O]C(O)CC=O_m2,0.4992474424029258,addition
123,CCCCOO_m1.[CH]=C_m2>>CCCCO[O]_m2.C=C_m1,0.4850077181360951,abstraction
124,C=CO_m1.C=C[O]_m2>>C=C[O]_m2.CC=O_m1,0.4763457513209776,abstraction
125,C=[C]C_m2.C[C]=O_m2>>C#CC_m1.CC=O_m1,0.4730044921704208,abstraction
126,[CH3]_m2.C=C_m1>>[CH2]CC_m2,0.4636211814188062,addition
127,[CH]1C=CCO1_m2.[O]_m3>>C1C=COC=1_m1.[OH]_m2,0.4595729432969456,abstraction
128,C=CCC_m1.C=C[CH]CO[O]_m3>>[CH2]C=CC_m2.CC=CCO[O]_m2,0.4559645942366133,abstraction
129,[CH2]CCC_m2.[CH2]C=C[CH2]_m3>>C=CCC_m1.[CH2]C=CC_m2,0.42717094197341976,abstraction
130,[CH2]CCC_m2.[CH2]CCC_m2>>C=CCC_m1.CCCC_m1,0.427127694952764,abstraction
131,CCCC_m1.[O]C=O_m2>>[CH2]CCC_m2.O=CO_m1,0.41641905823021397,abstraction
132,C=C_m1.CC=O_m1>>CC1CCO1_m1,0.3907858748646404,
133,O=C=C(O)[CH]O_m2.[CH2]C#CC_m2>>O=C=C(O)C=O_m1.C=C=CC_m1,0.38097645343198905,abstraction
134,[H]_m2.[CH]_m2>>[CH2]_m1,0.3764382231987805,
135,C1=COCC1_m1.O=[C]C=CC=O_m2>>[CH]1C=CCO1_m2.O=CC=CC=O_m1,0.3734005684300107,abstraction
136,C=CC_m1.C[CH]CC_m2>>[CH2]C=C_m2.CCCC_m1,0.3693386683109167,abstraction
137,[CH2]C=CC_m2.C[CH2]_m2>>C=CC=C_m1.CC_m1,0.3642894374749357,abstraction
138,[CH]=O_m2.[CH]C=C_m3>>[CH2]C=CC=O_m2,0.3558042840385017,
139,[CH2]_m3.[CH2]O_m2>>[CH2]CO_m2,0.3523312146403283,
140,C=CC_m1.[C]#C_m2>>[CH2]C=C_m2.C#C_m1,0.3517465792538544,abstraction
141,CCCO[O]_m2>>[CH2]CCOO_m2,0.34931322113241065,migration
142,[O]O_m2.[O]_m3>>[O][O]_m3.[OH]_m2,0.3440923955243612,abstraction
143,[OH]_m2.[CH2]_m3>>[CH2]O_m2,0.3393379881272107,
144,CC=O_m1.[H]_m2>>C=C[O]_m2.[H][H]_m1,0.33879969736572385,abstraction
145,C=CC[C]=O_m2.O=[C]C=CC=O_m2>>C=CC=C=O_m1.O=CC=CC=O_m1,0.3323724870847311,abstraction
146,O=C=C[C](O)C=O_m2.[CH2][C](O)C=O_m3>>O=C=CC(=O)C=O_m1.C=C(O)[CH]O_m2,0.3305226592511988,abstraction
147,[O][O]_m3.[CH3]_m2>>[O]_m3.C[O]_m2,0.3277855918401396,
148,C=C[O]_m2.CC=O_m1>>CC([O])CC=O_m2,0.32380175989366305,addition
149,[CH]1CCOOC1_m2.C=C[CH]CO[O]_m3>>C1=CCOOC1_m1.C=CCCO[O]_m2,0.3213864824792753,abstraction
150,[CH2]CC=C_m2.[CH3]_m2>>C=CC=C_m1.C_m1,0.32046136127651903,abstraction
151,C=C[O]_m2.[H]_m2>>[CH]=O_m2.[CH3]_m2,0.3181261365012668,
152,[CH2]C=CC_m2.C[O]_m2>>C=CC=C_m1.CO_m1,0.315319810715763,abstraction
153,COO_m1.C[C]=O_m2>>CO[O]_m2.CC=O_m1,0.3110142900485819,abstraction
154,C[CH]CC_m2.[CH3]_m2>>CC=CC_m1.C_m1,0.2989558152532024,abstraction
155,[O]CC(=O)C=O_m2.[CH2]C#CC_m2>>O=CC(=O)C=O_m1.C=C=CC_m1,0.29734170390482106,abstraction
156,[H]_m2.[O]C=O_m2>>[O]C[O]_m3,0.2961184295693349,addition
157,CC=O_m1.[CH3]_m2>>C[C]=O_m2.C_m1,0.2944525142771723,abstraction
158,[CH]=O_m2.[H]_m2>>[C-]#[O+]_m1.[H][H]_m1,0.2901503286894469,abstraction
159,OO_m1.[CH2]_m1>>[OH]_m2.C[O]_m2,0.2827546138139663,
160,C=C(O)CO[O]_m2>>CC(=O)CO[O]_m2,0.2784713449647097,migration
161,[O]C=O_m2.CO[O]_m2>>O=C=O_m1.COO_m1,0.2761657341579633,abstraction
162,C=[C]C(=C)O[O]_m3>>O=O_m1.C=C=C=C_m1,0.2728341469887207,
163,CCCC_m1.[O]_m3>>[CH2]CCC_m2.[OH]_m2,0.2728279368344685,abstraction
164,[CH]1CCOOC1_m2.O=[C]CC=O_m2>>C1=CCOOC1_m1.O=CCC=O_m1,0.26842862538624784,abstraction
165,CCC(C)O[O]_m2>>[O]O_m2.C=CCC_m1,0.2669720136673135,
166,COO_m1.[CH]=C_m2>>CO[O]_m2.C=C_m1,0.2664856506229972,abstraction
167,C=[C]C_m2.C[CH2]_m2>>C#CC_m1.CC_m1,0.2633396854786048,abstraction
168,C[CH]CC_m2.[OH]_m2>>CC=CC_m1.O_m1,0.2607940789667149,abstraction
169,[CH2]CC_m2.[CH2]CCC_m2>>C=CC_m1.CCCC_m1,0.2597875405205448,abstraction
170,C=C[O]_m2.[O][O]_m3>>[O]OCC=O_m2,0.2517981287990494,addition
171,[CH2]O_m2.[OH]_m2>>C=O_m1.O_m1,0.2517196164880385,abstraction
172,C#C[CH]C_m2.C=C[CH]CO[O]_m3>>C#CC=C_m1.C=CCCO[O]_m2,0.2496094140905491,abstraction
173,[CH]=O_m2.C#C[CH2]_m2>>[C-]#[O+]_m1.C#CC_m1,0.2481993526586397,abstraction
174,[OH]_m2.C=CO_m1>>O[CH]CO_m2,0.2465189028368847,addition
175,[H]_m2.[O]_m3>>[OH]_m2,0.2448328231791887,
176,[CH2]CCC_m2.[H]_m2>>CCCC_m1,0.2424078188568972,
177,[CH2]CCOO_m2.[O][O]_m3>>[O]OCCCOO_m2,0.2339272222335023,addition
178,[O]O_m2.C=C[O]_m2>>[O][O]_m3.CC=O_m1,0.2328850790380961,abstraction
179,C=CCC_m1.C[O]_m2>>[CH2]C=CC_m2.CO_m1,0.2268450233915685,abstraction
180,[CH2]CC=C_m2.C=C[CH]CO[O]_m3>>C=CC=C_m1.C=CCCO[O]_m2,0.2262792249572117,abstraction
181,[CH2]CC_m2.C[CH]CC_m2>>C=CC_m1.CCCC_m1,0.2162961869264801,abstraction
182,[C-]#[O+]_m1.C=CO_m1>>C=C(O)C=O_m1,0.2155413467078456,
183,C#C[CH]C_m2.[CH2]CCCOO_m2>>C#CC=C_m1.CCCCOO_m1,0.2088569383356922,abstraction
184,CC([O])CC=O_m2.[OH]_m2>>CC(CC=O)OO_m1,0.20550947845004602,
185,C=C=CC_m1.C=C[O]_m2>>[CH2]C#CC_m2.C=CO_m1,0.2017636084668907,abstraction
186,[CH]=CC=O_m2.[CH2]O[O]_m3>>[O]OCC=CC=O_m2,0.2016285080014245,
187,CC=O_m1.[O]_m3>>C[C]=O_m2.[OH]_m2,0.20125270773343026,abstraction
188,O=CCC=O_m1.[O][O]_m3>>O=[C]CC=O_m2.[O]O_m2,0.19445344585530366,abstraction
189,[O]CCC=O_m2.O=[C]CC=O_m2>>O=CCC=O_m1.O=CCC=O_m1,0.193911839213113,abstraction
190,[CH]_m2.C=O_m1>>[H]_m2.C=C=O_m1,0.19348660118150213,
191,[CH2]C=CC_m2.C=C[CH]CO[O]_m3>>C=CC=C_m1.CC=CCO[O]_m2,0.1918188334819448,abstraction
192,[CH2]O_m2.[O]_m3>>C=O_m1.[OH]_m2,0.18974495511881792,abstraction
193,C[CH]CC_m2.C=C[O]_m2>>CC=CC_m1.C=CO_m1,0.18928683375687128,abstraction
