species_id,path
C=C(C)[O]_m2,geoms/C=C_p_C_q__b_O_d__m2.xyz
C=C(O)C=O_m1,geoms/C=C_p_O_q_C=O_m1.xyz
C=C1OC1=O_m1,geoms/C=C1OC1=O_m1.xyz
C=C=CO[O]_m2,geoms/C=C=CO_b_O_d__m2.xyz
C=CCCO[O]_m2,geoms/C=CCCO_b_O_d__m2.xyz
C=CC[C]=O_m2,geoms/C=CC_b_C_d_=O_m2.xyz
CC#CCC[O]_m2,geoms/CC_t_CCC_b_O_d__m2.xyz
CC#CCO[O]_m2,geoms/CC_t_CCO_b_O_d__m2.xyz
CC(C)O[O]_m2,geoms/CC_p_C_q_O_b_O_d__m2.xyz
CC([O])=O_m2,geoms/CC_p__b_O_d__q_=O_m2.xyz
CC=CCC[O]_m2,geoms/CC=CCC_b_O_d__m2.xyz
CC=CCO[O]_m2,geoms/CC=CCO_b_O_d__m2.xyz
C[CH]CCOO_m2,geoms/C_b_CH_d_CCOO_m2.xyz
O=C1C=CC1_m1,geoms/O=C1C=CC1_m1.xyz
O=C1CC1=O_m1,geoms/O=C1CC1=O_m1.xyz
O=C1OOC1O_m1,geoms/O=C1OOC1O_m1.xyz
O=C=C1CO1_m1,geoms/O=C=C1CO1_m1.xyz
O=CC=CC=O_m1,geoms/O=CC=CC=O_m1.xyz
O=[C]CC=O_m2,geoms/O=_b_C_d_CC=O_m2.xyz
OC1(O)CO1_m1,geoms/OC1_p_O_q_CO1_m1.xyz
[C-]#[O+]_m1,geoms/_b_C-_d__t__b_O+_d__m1.xyz
[CH2]C#CC_m2,geoms/_b_CH2_d_C_t_CC_m2.xyz
[CH2]C#CO_m2,geoms/_b_CH2_d_C_t_CO_m2.xyz
[CH2]C=CC_m2,geoms/_b_CH2_d_C=CC_m2.xyz
[CH2]CC=C_m2,geoms/_b_CH2_d_CC=C_m2.xyz
[CH2]CCOO_m2,geoms/_b_CH2_d_CCOO_m2.xyz
[CH2]O[O]_m3,geoms/_b_CH2_d_O_b_O_d__m3.xyz
[CH]=CC=O_m2,geoms/_b_CH_d_=CC=O_m2.xyz
[CH]C=C=O_m3,geoms/_b_CH_d_C=C=O_m3.xyz
[O]C(=O)O_m2,geoms/_b_O_d_C_p_=O_q_O_m2.xyz
[O]OCCCOO_m2,geoms/_b_O_d_OCCCOO_m2.xyz
[O][C]=CO_m3,geoms/_b_O_d__b_C_d_=CO_m3.xyz
C=C(C)O[O]_m2,geoms/C=C_p_C_q_O_b_O_d__m2.xyz
C=C=C=C[O]_m2,geoms/C=C=C=C_b_O_d__m2.xyz
C=C[CH]COO_m2,geoms/C=C_b_CH_d_COO_m2.xyz
C=[C]OCC=O_m2,geoms/C=_b_C_d_OCC=O_m2.xyz
C=[C]OOC=O_m2,geoms/C=_b_C_d_OOC=O_m2.xyz
CC#CC[C]=O_m2,geoms/CC_t_CC_b_C_d_=O_m2.xyz
CC(=O)CCOO_m1,geoms/CC_p_=O_q_CCOO_m1.xyz
CC(CC=O)OO_m1,geoms/CC_p_CC=O_q_OO_m1.xyz
CC(O)=CCOO_m1,geoms/CC_p_O_q_=CCOO_m1.xyz
CCC(C)O[O]_m2,geoms/CCC_p_C_q_O_b_O_d__m2.xyz
CCC=CCC[O]_m2,geoms/CCC=CCC_b_O_d__m2.xyz
CCC=CCO[O]_m2,geoms/CCC=CCO_b_O_d__m2.xyz
C[CH]OCC=O_m2,geoms/C_b_CH_d_OCC=O_m2.xyz
OOC[C](O)O_m2,geoms/OOC_b_C_d__p_O_q_O_m2.xyz
[CH2]C(O)O_m2,geoms/_b_CH2_d_C_p_O_q_O_m2.xyz
[CH2]C1CC1_m2,geoms/_b_CH2_d_C1CC1_m2.xyz
[CH2]C=C=O_m2,geoms/_b_CH2_d_C=C=O_m2.xyz
[CH2]C=CCC_m2,geoms/_b_CH2_d_C=CCC_m2.xyz
[CH2]CCCOO_m2,geoms/_b_CH2_d_CCCOO_m2.xyz
[CH2]OCC=O_m2,geoms/_b_CH2_d_OCC=O_m2.xyz
[CH2][C]=O_m3,geoms/_b_CH2_d__b_C_d_=O_m3.xyz
[CH]1COOC1_m2,geoms/_b_CH_d_1COOC1_m2.xyz
[CH]=C=C=C_m2,geoms/_b_CH_d_=C=C=C_m2.xyz
[C]1=COOC1_m2,geoms/_b_C_d_1=COOC1_m2.xyz
[O]CC=CC=O_m2,geoms/_b_O_d_CC=CC=O_m2.xyz
[O]OCC(O)O_m2,geoms/_b_O_d_OCC_p_O_q_O_m2.xyz
[O]OCCCCOO_m2,geoms/_b_O_d_OCCCCOO_m2.xyz
C#CC(=C)[O]_m2,geoms/C_t_CC_p_=C_q__b_O_d__m2.xyz
C#CC(=O)C=O_m1,geoms/C_t_CC_p_=O_q_C=O_m1.xyz
C#CC(C)O[O]_m2,geoms/C_t_CC_p_C_q_O_b_O_d__m2.xyz
C#CCC(C)[O]_m2,geoms/C_t_CCC_p_C_q__b_O_d__m2.xyz
C#CCC([O])O_m2,geoms/C_t_CCC_p__b_O_d__q_O_m2.xyz
C=C(O)CO[O]_m2,geoms/C=C_p_O_q_CO_b_O_d__m2.xyz
C=C(O)[CH]O_m2,geoms/C=C_p_O_q__b_CH_d_O_m2.xyz
C=C1[C]=CO1_m2,geoms/C=C1_b_C_d_=CO1_m2.xyz
C=CC(C)O[O]_m2,geoms/C=CC_p_C_q_O_b_O_d__m2.xyz
C=CCC(C)[O]_m2,geoms/C=CCC_p_C_q__b_O_d__m2.xyz
C=CCC([O])O_m2,geoms/C=CCC_p__b_O_d__q_O_m2.xyz
CC(=O)CC[O]_m2,geoms/CC_p_=O_q_CC_b_O_d__m2.xyz
CC(=O)CO[O]_m2,geoms/CC_p_=O_q_CO_b_O_d__m2.xyz
CC(=O)OOC=O_m1,geoms/CC_p_=O_q_OOC=O_m1.xyz
CC(=O)[C]=O_m2,geoms/CC_p_=O_q__b_C_d_=O_m2.xyz
CC([O])CC=O_m2,geoms/CC_p__b_O_d__q_CC=O_m2.xyz
CC1=[C]COO1_m2,geoms/CC1=_b_C_d_COO1_m2.xyz
CC1[CH]COO1_m2,geoms/CC1_b_CH_d_COO1_m2.xyz
CC1[C]=COO1_m2,geoms/CC1_b_C_d_=COO1_m2.xyz
COC=CC=C[O]_m2,geoms/COC=CC=C_b_O_d__m2.xyz
O=C1[C]=CC1_m2,geoms/O=C1_b_C_d_=CC1_m2.xyz
O=C=C(O)C=O_m1,geoms/O=C=C_p_O_q_C=O_m1.xyz
O=CC(=O)C=O_m1,geoms/O=CC_p_=O_q_C=O_m1.xyz
O=C[CH]C=CO_m2,geoms/O=C_b_CH_d_C=CO_m2.xyz
O=[C]C(=O)O_m2,geoms/O=_b_C_d_C_p_=O_q_O_m2.xyz
O=[C]C=CC=O_m2,geoms/O=_b_C_d_C=CC=O_m2.xyz
O=[C]CC=C=O_m2,geoms/O=_b_C_d_CC=C=O_m2.xyz
O=[C]C[C]=O_m3,geoms/O=_b_C_d_C_b_C_d_=O_m3.xyz
[CH2]C(=C)O_m2,geoms/_b_CH2_d_C_p_=C_q_O_m2.xyz
[CH2]C=CC=O_m2,geoms/_b_CH2_d_C=CC=O_m2.xyz
[CH2]C[CH2]_m3,geoms/_b_CH2_d_C_b_CH2_d__m3.xyz
[CH2]OC=C=C_m2,geoms/_b_CH2_d_OC=C=C_m2.xyz
[CH]1C=CCO1_m2,geoms/_b_CH_d_1C=CCO1_m2.xyz
[CH]1CCOOC1_m2,geoms/_b_CH_d_1CCOOC1_m2.xyz
[CH]=C[CH]C_m3,geoms/_b_CH_d_=C_b_CH_d_C_m3.xyz
[O]C(O)CC=O_m2,geoms/_b_O_d_C_p_O_q_CC=O_m2.xyz
[O]C1=COOC1_m2,geoms/_b_O_d_C1=COOC1_m2.xyz
[O]CC=CC[O]_m3,geoms/_b_O_d_CC=CC_b_O_d__m3.xyz
[O]CCC#CC=O_m2,geoms/_b_O_d_CCC_t_CC=O_m2.xyz
[O]CCC=CC=O_m2,geoms/_b_O_d_CCC=CC=O_m2.xyz
[O]OCC#CC=O_m2,geoms/_b_O_d_OCC_t_CC=O_m2.xyz
[O]OCC=CC=O_m2,geoms/_b_O_d_OCC=CC=O_m2.xyz
C#CC(=C)O[O]_m2,geoms/C_t_CC_p_=C_q_O_b_O_d__m2.xyz
C=C1OC1=C[O]_m2,geoms/C=C1OC1=C_b_O_d__m2.xyz
C=C1[C]=COO1_m2,geoms/C=C1_b_C_d_=COO1_m2.xyz
C=C=C(C)O[O]_m2,geoms/C=C=C_p_C_q_O_b_O_d__m2.xyz
C=C=C(C=O)OO_m1,geoms/C=C=C_p_C=O_q_OO_m1.xyz
C=C=C1[CH]O1_m2,geoms/C=C=C1_b_CH_d_O1_m2.xyz
C=C=[C]CO[O]_m3,geoms/C=C=_b_C_d_CO_b_O_d__m3.xyz
C=CC(CC)O[O]_m2,geoms/C=CC_p_CC_q_O_b_O_d__m2.xyz
C=C[CH]CO[O]_m3,geoms/C=C_b_CH_d_CO_b_O_d__m3.xyz
C=C[C]=CO[O]_m3,geoms/C=C_b_C_d_=CO_b_O_d__m3.xyz
CC#CCC(C)[O]_m2,geoms/CC_t_CCC_p_C_q__b_O_d__m2.xyz
CC#CCC([O])O_m2,geoms/CC_t_CCC_p__b_O_d__q_O_m2.xyz
CC(CCOO)O[O]_m2,geoms/CC_p_CCOO_q_O_b_O_d__m2.xyz
CC(CCO[O])OO_m2,geoms/CC_p_CCO_b_O_d__q_OO_m2.xyz
CC1OOC=C1[O]_m2,geoms/CC1OOC=C1_b_O_d__m2.xyz
CC1OOCC=1[O]_m2,geoms/CC1OOCC=1_b_O_d__m2.xyz
CC=CCC(C)[O]_m2,geoms/CC=CCC_p_C_q__b_O_d__m2.xyz
CCC1[CH]COO1_m2,geoms/CCC1_b_CH_d_COO1_m2.xyz
C[C](CCOO)OO_m2,geoms/C_b_C_d__p_CCOO_q_OO_m2.xyz
O=C1C(=O)C1O_m1,geoms/O=C1C_p_=O_q_C1O_m1.xyz
O=C[C](O)C=O_m2,geoms/O=C_b_C_d__p_O_q_C=O_m2.xyz
O=[C]CC#CC=O_m2,geoms/O=_b_C_d_CC_t_CC=O_m2.xyz
OC1C=C[CH]O1_m2,geoms/OC1C=C_b_CH_d_O1_m2.xyz
[CH2]C1CCOO1_m2,geoms/_b_CH2_d_C1CCOO1_m2.xyz
[CH2]CC(C)OO_m2,geoms/_b_CH2_d_CC_p_C_q_OO_m2.xyz
[CH]=C(O)C=O_m2,geoms/_b_CH_d_=C_p_O_q_C=O_m2.xyz
[CH]=C1CC1=O_m2,geoms/_b_CH_d_=C1CC1=O_m2.xyz
[CH]=C=C1CO1_m2,geoms/_b_CH_d_=C=C1CO1_m2.xyz
[O]C(=O)CC=O_m2,geoms/_b_O_d_C_p_=O_q_CC=O_m2.xyz
[O]C(C=O)=CO_m2,geoms/_b_O_d_C_p_C=O_q_=CO_m2.xyz
[O]C1=CC=CO1_m2,geoms/_b_O_d_C1=CC=CO1_m2.xyz
[O]CC(=O)C=O_m2,geoms/_b_O_d_CC_p_=O_q_C=O_m2.xyz
[O]CC1C=CCO1_m2,geoms/_b_O_d_CC1C=CCO1_m2.xyz
[O]OC1=COOC1_m2,geoms/_b_O_d_OC1=COOC1_m2.xyz
[O]OC1C=CCO1_m2,geoms/_b_O_d_OC1C=CCO1_m2.xyz
[O]OC1C=COC1_m2,geoms/_b_O_d_OC1C=COC1_m2.xyz
[O]OC1CCOOC1_m2,geoms/_b_O_d_OC1CCOOC1_m2.xyz
[O]OCC1CCOO1_m2,geoms/_b_O_d_OCC1CCOO1_m2.xyz
C#CC(=O)CC[O]_m2,geoms/C_t_CC_p_=O_q_CC_b_O_d__m2.xyz
C#CC(=O)CO[O]_m2,geoms/C_t_CC_p_=O_q_CO_b_O_d__m2.xyz
C=C=C([O])[O]_m3,geoms/C=C=C_p__b_O_d__q__b_O_d__m3.xyz
C=CC(C=O)O[O]_m2,geoms/C=CC_p_C=O_q_O_b_O_d__m2.xyz
C=CC(COO)O[O]_m2,geoms/C=CC_p_COO_q_O_b_O_d__m2.xyz
C=[C]C(=O)C=O_m2,geoms/C=_b_C_d_C_p_=O_q_C=O_m2.xyz
C=[C]C(O)=C=O_m2,geoms/C=_b_C_d_C_p_O_q_=C=O_m2.xyz
C=[C]OCC(C)=O_m2,geoms/C=_b_C_d_OCC_p_C_q_=O_m2.xyz
CC(=O)OO[CH]O_m2,geoms/CC_p_=O_q_OO_b_CH_d_O_m2.xyz
CC(C[CH]OO)OO_m2,geoms/CC_p_C_b_CH_d_OO_q_OO_m2.xyz
CC1OOC=C1O[O]_m2,geoms/CC1OOC=C1O_b_O_d__m2.xyz
CC1OOCC=1O[O]_m2,geoms/CC1OOCC=1O_b_O_d__m2.xyz
C[CH]OCC(C)=O_m2,geoms/C_b_CH_d_OCC_p_C_q_=O_m2.xyz
O=C1OC(O)C1=O_m1,geoms/O=C1OC_p_O_q_C1=O_m1.xyz
O=C=C(O)[CH]O_m2,geoms/O=C=C_p_O_q__b_CH_d_O_m2.xyz
O=C=C=C(O)C=O_m1,geoms/O=C=C=C_p_O_q_C=O_m1.xyz
O=C=CC(=O)C=O_m1,geoms/O=C=CC_p_=O_q_C=O_m1.xyz
O=C=CC(O)=C=O_m1,geoms/O=C=CC_p_O_q_=C=O_m1.xyz
O=CC1=[C]COO1_m2,geoms/O=CC1=_b_C_d_COO1_m2.xyz
OOCC1[CH]COO1_m2,geoms/OOCC1_b_CH_d_COO1_m2.xyz
[CH2]C(=O)C=O_m2,geoms/_b_CH2_d_C_p_=O_q_C=O_m2.xyz
[CH2]C(=O)COO_m2,geoms/_b_CH2_d_C_p_=O_q_COO_m2.xyz
[CH2]C(C=C)OO_m2,geoms/_b_CH2_d_C_p_C=C_q_OO_m2.xyz
[CH2]C=C[CH2]_m3,geoms/_b_CH2_d_C=C_b_CH2_d__m3.xyz
[CH2]OCC(C)=O_m2,geoms/_b_CH2_d_OCC_p_C_q_=O_m2.xyz
[O]OC(O)[C]=O_m3,geoms/_b_O_d_OC_p_O_q__b_C_d_=O_m3.xyz
[O]OC1C=COC1O_m2,geoms/_b_O_d_OC1C=COC1O_m2.xyz
[O]OC=C(O)C=O_m2,geoms/_b_O_d_OC=C_p_O_q_C=O_m2.xyz
[O]OCC(=O)COO_m2,geoms/_b_O_d_OCC_p_=O_q_COO_m2.xyz
C#CC(=O)C[C]=O_m2,geoms/C_t_CC_p_=O_q_C_b_C_d_=O_m2.xyz
C#CC(C)C(C)[O]_m2,geoms/C_t_CC_p_C_q_C_p_C_q__b_O_d__m2.xyz
C#CCC([O])CC=O_m2,geoms/C_t_CCC_p__b_O_d__q_CC=O_m2.xyz
C=C(O)C(O)O[O]_m2,geoms/C=C_p_O_q_C_p_O_q_O_b_O_d__m2.xyz
C=C([CH]C)O[O]_m3,geoms/C=C_p__b_CH_d_C_q_O_b_O_d__m3.xyz
C=C=C(C=O)O[O]_m2,geoms/C=C=C_p_C=O_q_O_b_O_d__m2.xyz
C=CC(C)C(C)[O]_m2,geoms/C=CC_p_C_q_C_p_C_q__b_O_d__m2.xyz
C=[C]C(=C)O[O]_m3,geoms/C=_b_C_d_C_p_=C_q_O_b_O_d__m3.xyz
CC(=O)C(=O)C=O_m1,geoms/CC_p_=O_q_C_p_=O_q_C=O_m1.xyz
CC(=O)CC(C)[O]_m2,geoms/CC_p_=O_q_CC_p_C_q__b_O_d__m2.xyz
CC([O])CC#CC=O_m2,geoms/CC_p__b_O_d__q_CC_t_CC=O_m2.xyz
CC([O])CC=CC=O_m2,geoms/CC_p__b_O_d__q_CC=CC=O_m2.xyz
O=C1OOC(O)C1=O_m1,geoms/O=C1OOC_p_O_q_C1=O_m1.xyz
O=C=C[C](O)C=O_m2,geoms/O=C=C_b_C_d__p_O_q_C=O_m2.xyz
O=CC1=CC(=O)O1_m1,geoms/O=CC1=CC_p_=O_q_O1_m1.xyz
O=[C]C(O)[C]=O_m3,geoms/O=_b_C_d_C_p_O_q__b_C_d_=O_m3.xyz
[CH2]C(=C)O[O]_m3,geoms/_b_CH2_d_C_p_=C_q_O_b_O_d__m3.xyz
[CH2]C(=O)CC=O_m2,geoms/_b_CH2_d_C_p_=O_q_CC=O_m2.xyz
[CH2]C=CO[CH2]_m3,geoms/_b_CH2_d_C=CO_b_CH2_d__m3.xyz
[CH2][C](O)C=O_m3,geoms/_b_CH2_d__b_C_d__p_O_q_C=O_m3.xyz
