reaction_id,exception
[CH2]C(=C)O_m2>>C=C=O_m1.[CH3]_m2,
CC#C_m1.[OH]_m2>>[CH2]C(=C)O_m2,
[CH2]C#C_m2.O[O]_m2>>OOC=C=C_m1,
OOC=C=C_m1>>O=CC#C_m1.O_m1,
C#[C]_m2.C=O_m1>>[O]C=C=C_m2,
O=CC#C_m1>>C#C_m1.[C]=O_m3,
C#[C]_m2.[CH]=O_m2>>O=CC#C_m1,
[CH2]C#C_m2.[CH2]C#C_m2>>c1ccccc1_m1,
[CH2]C#C_m2.[CH2]C#C_m2>>C=C1C=CC=C1_m1,
CC(=O)C_m1>>C[C]=O_m2.[CH3]_m2,
CC(=O)[CH2]_m2.[H]_m2>>CC(=O)C_m1,
C=[CH]_m2.[CH]=O_m2>>C=CC=O_m1,
C=[CH]_m2.[C]=O_m3>>C=C[C]=O_m2,
C[CH2]_m2.[CH]=O_m2>>CCC=O_m1,
C[CH2]_m2.[C]=O_m3>>CC[C]=O_m2,
CCCC_m1>>CCC[CH2]_m2.[H]_m2,
CCCC_m1>>C[CH]CC_m2.[H]_m2,
CCCCOO_m1>>CCCC[O]_m2.[OH]_m2,
CCCCO[O]_m2>>CCC=C_m1.O[O]_m2,
CCC([O])C_m2.[OH]_m2>>CC(OO)CC_m1,
CC(O[O])CC_m2>>CCC=C_m1.O[O]_m2,
CC[CH]COO_m2>>CCC1CO1_m1.[OH]_m2,
C[CH]CCOO_m2>>CC1CCO1_m1.[OH]_m2,
[CH2]CCCOO_m2>>C1CCCO1_m1.[OH]_m2,
CC(OO)C[CH2]_m2>>CC1CCO1_m1.[OH]_m2,
[CH2]C=O_m2.C=C_m1>>[CH2]CC1CO1_m2,
C=C_m1.[CH2]C=O_m2>>[CH2]C1CCO1_m2,
[CH3]_m2.C=CC=O_m1>>CC1OC1[CH2]_m2,
OOCC(O[O])CC_m2>>CC=CCOO_m1.O[O]_m2,
OOCCC(O[O])C_m2>>OOCCC=C_m1.O[O]_m2,
OOCCC(O[O])C_m2>>CC=CCOO_m1.O[O]_m2,
OOCCCCO[O]_m2>>OOCCC=C_m1.O[O]_m2,
OOC(C(O[O])C)C_m2>>CC(C=C)OO_m1.O[O]_m2,
[O]OCCC(OO)C_m2>>CC(C=C)OO_m1.O[O]_m2,
